year,month,SD_70,SL_70,SL_70_log10,fyear_CS,monthly_sunspots,std,observations,date,smoothed_sunspots,cycle,SD_70*10,proton_density,proton_temp,He4toprotons,proton_speed,PC1,PC2
2008,1,12.016068,51.978577,1.715824385793946,2008.042,4.1,2.8,480,2008-01-01,15.485000000000001,24,120.16068000000001,4.019880718954248,122849.28921568628,0.022890359477124183,523.7862091503267,0.9313211423975181,-0.2643942685617869
2008,2,13.664755,63.55418,1.8031441196616185,2008.124,2.9,2.4,490,2008-02-01,14.865000000000002,24,136.64755,4.371018348623854,128298.45412844037,0.023571406727828745,525.7704128440366,0.9665017039475112,-0.26900222467033963
2008,3,13.722303,67.069061,1.826522226045837,2008.206,15.5,2.7,548,2008-03-01,14.35,24,137.22303,4.101949720670391,118428.20391061452,0.02711326815642458,526.0814804469275,0.880691551960122,-0.07099428071445162
2008,4,13.0641395,75.819767,1.8797822985127857,2008.29,3.6,2.3,562,2008-04-01,14.336666666666668,24,130.641395,3.487820472440945,118971.36818897637,0.029202834645669293,525.2642834645669,0.9193345902218083,0.06220724786515867
2008,5,12.623115,67.144348,1.827009460999962,2008.373,4.6,3.2,637,2008-05-01,14.676666666666666,24,126.23115,4.182502024291498,111765.7085020243,0.02988056680161943,492.0028340080972,0.5611921422432979,0.028442846728831427
2008,6,11.7354,60.983978,1.785215750090056,2008.456,5.2,2.3,637,2008-06-01,14.791666666666666,24,117.354,2.9193083700440527,117385.21145374449,0.025466740088105726,535.3446475770925,1.0353183457464548,-0.050535222536142815
2008,7,10.072157,46.674667,1.6690812281620186,2008.54,0.6,2.0,664,2008-07-01,14.211666666666668,24,100.72157000000001,3.9194106728538283,93050.41299303944,0.01995661252900232,487.21709976798144,0.41321226314252435,-0.3551646721633468
2008,8,10.287779,45.09687,1.6541464002171933,2008.624,0.3,2.0,525,2008-08-01,14.318333333333333,24,102.87779,4.919,91168.76308539945,0.011172176308539946,463.1336914600551,0.18658319009144114,-0.8323008520228505
2008,9,10.280159,50.219479,1.7008722028293375,2008.708,1.2,2.4,605,2008-09-01,15.028333333333332,24,102.80158999999999,4.381092140921409,85023.30189701897,0.015453658536585365,468.3611653116531,0.18841770651611905,-0.5865496356730939
2008,10,8.784456,36.639324,1.5639474522835293,2008.791,4.2,2.9,571,2008-10-01,16.05,24,87.84456,3.0850030120481926,134321.77710843374,0.015719578313253012,543.3830421686747,1.2814309548601086,-0.5240413166099955
